
Team,Confed,Rating
Argentina,CONMEBOL,95
France,UEFA,94
Brazil,CONMEBOL,93
England,UEFA,92
Spain,UEFA,92
Portugal,UEFA,91
Netherlands,UEFA,90
Germany,UEFA,90
Italy,UEFA,89
Belgium,UEFA,89
Croatia,UEFA,88
Uruguay,CONMEBOL,87
Colombia,CONMEBOL,86
Morocco,CAF,86
USA,CONCACAF,85
Mexico,CONCACAF,84
Denmark,UEFA,84
Switzerland,UEFA,84
Japan,AFC,84
Austria,UEFA,83
Senegal,CAF,83
Nigeria,CAF,82
Ukraine,UEFA,82
Poland,UEFA,81
Serbia,UEFA,81
Romania,UEFA,80
Hungary,UEFA,80
Czechia,UEFA,79
South Korea,AFC,79
Ecuador,CONMEBOL,79
Australia,AFC,78
Scotland,UEFA,78
Iran,AFC,78
Turkey,UEFA,78
Algeria,CAF,77
Tunisia,CAF,77
Canada,CONCACAF,77
Ghana,CAF,76
Egypt,CAF,76
Panama,CONCACAF,75
Costa Rica,CONCACAF,75
Norway,UEFA,75
Slovakia,UEFA,74
Saudi Arabia,AFC,74
Cameroon,CAF,74
Paraguay,CONMEBOL,74
Qatar,AFC,73
China PR,AFC,70
India,AFC,67
